group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
argon2id,hash,m507904_t3_p16,,,680014756.0,ns,1
argon2id,hash,m507904_t3_p16,,,677964717.0,ns,1
argon2id,hash,m507904_t3_p16,,,677557714.0,ns,1
argon2id,hash,m507904_t3_p16,,,675798231.0,ns,1
argon2id,hash,m507904_t3_p16,,,678356352.0,ns,1
argon2id,hash,m507904_t3_p16,,,677588792.0,ns,1
argon2id,hash,m507904_t3_p16,,,679533743.0,ns,1
argon2id,hash,m507904_t3_p16,,,678146349.0,ns,1
argon2id,hash,m507904_t3_p16,,,677754023.0,ns,1
argon2id,hash,m507904_t3_p16,,,677501758.0,ns,1
