group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
argon2id,verify,m212992_t2_p2,,,563658116.0,ns,3
argon2id,verify,m212992_t2_p2,,,562695751.0,ns,3
argon2id,verify,m212992_t2_p2,,,564539418.0,ns,3
argon2id,verify,m212992_t2_p2,,,563580813.0,ns,3
argon2id,verify,m212992_t2_p2,,,562889552.0,ns,3
argon2id,verify,m212992_t2_p2,,,563846471.0,ns,3
argon2id,verify,m212992_t2_p2,,,563965977.0,ns,3
argon2id,verify,m212992_t2_p2,,,563985289.0,ns,3
argon2id,verify,m212992_t2_p2,,,566196424.0,ns,3
argon2id,verify,m212992_t2_p2,,,562967910.0,ns,3
