group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
argon2id,verify,m819200_t1_p16,,,870250162.0,ns,2
argon2id,verify,m819200_t1_p16,,,867537241.0,ns,2
argon2id,verify,m819200_t1_p16,,,868385826.0,ns,2
argon2id,verify,m819200_t1_p16,,,867530899.0,ns,2
argon2id,verify,m819200_t1_p16,,,868845655.0,ns,2
argon2id,verify,m819200_t1_p16,,,868458651.0,ns,2
argon2id,verify,m819200_t1_p16,,,868552216.0,ns,2
argon2id,verify,m819200_t1_p16,,,874436927.0,ns,2
argon2id,verify,m819200_t1_p16,,,870127599.0,ns,2
argon2id,verify,m819200_t1_p16,,,871998088.0,ns,2
